C0: 16.35Hz
C1: 32.70Hz
C2: 65.41Hz
C3: 130.81Hz
C4: 261.63Hz
C5: 523.25Hz
C6: 1046.50Hz
C7: 2093.00Hz
C8: 4186.01Hz
C#0: 17.32Hz
C#1: 34.65Hz
C#2: 69.30Hz
C#3: 138.59Hz
C#4: 277.18Hz
C#5: 554.37Hz
C#6: 1108.73Hz
C#7: 2217.46Hz
D0: 18.35Hz
D1: 36.71Hz
D2: 73.42Hz
D3: 146.83Hz
D4: 293.66Hz
D5: 587.33Hz
D6: 1174.66Hz
D7: 2349.32Hz
D#0: 19.45Hz
D#1: 38.89Hz
D#2: 77.78Hz
D#3: 155.56Hz
D#4: 311.13Hz
D#5: 622.25Hz
D#6: 1244.51Hz
D#7: 2489.02Hz
E0: 20.60Hz
E1: 41.20Hz
E2: 82.41Hz
E3: 164.81Hz
E4: 329.63Hz
E5: 659.26Hz
E6: 1318.51Hz
E7: 2637.02Hz
F0: 21.83Hz
F1: 43.65Hz
F2: 87.31Hz
F3: 174.61Hz
F4: 349.23Hz
F5: 698.46Hz
F6: 1396.91Hz
F7: 2793.83Hz
F#0: 23.12Hz
F#1: 46.25Hz
F#2: 92.50Hz
F#3: 185.00Hz
F#4: 369.99Hz
F#5: 739.99Hz
F#6: 1479.98Hz
F#7: 2959.96Hz
G0: 24.50Hz
G1: 49.00Hz
G2: 98.00Hz
G3: 196.00Hz
G4: 392.00Hz
G5: 783.99Hz
G6: 1567.98Hz
G7: 3135.96Hz
G#0: 25.96Hz
G#1: 51.91Hz
G#2: 103.83Hz
G#3: 207.65Hz
G#4: 415.30Hz
G#5: 830.61Hz
G#6: 1661.22Hz
G#7: 3322.44Hz
A0: 27.50Hz
A1: 55.00Hz
A2: 110.00Hz
A3: 220.00Hz
A4: 440.00Hz
A5: 880.00Hz
A6: 1760.00Hz
A7: 3520.00Hz
A#0: 29.14Hz
A#1: 58.27Hz
A#2: 116.54Hz
A#3: 233.08Hz
A#4: 466.16Hz
A#5: 932.33Hz
A#6: 1864.66Hz
A#7: 3729.31Hz
B0: 30.87Hz
B1: 61.74Hz
B2: 123.47Hz
B3: 246.94Hz
B4: 493.88Hz
B5: 987.77Hz
B6: 1975.53Hz
B7: 3951.07Hz
